"CUSTOMERNAME","MonetaryValue","AvgMonetaryValue","Frequency","last_order_date","max_order_date","Recency","rfm_recency","rfm_frequency","rfm_monetary","rfm_cell","rfm_cell_string","rfm_level"
"Boards & Toys Co.",9129.349999999999,3043.1166666666663,3,"2005-02-08 00:00:00","2005-05-31 00:00:00",112,3,1,1,5,"311","Low Level Customer"
"Atelier graphique",24179.96,3454.2799999999997,7,"2004-11-25 00:00:00","2005-05-31 00:00:00",187,2,1,1,4,"211","Low Level Customer"
"Auto-Moto Classics Inc.",26479.260000000002,3309.9075000000003,8,"2004-12-03 00:00:00","2005-05-31 00:00:00",179,3,1,1,5,"311","Low Level Customer"
"Microscale Inc.",33144.93000000001,3314.493000000001,10,"2004-11-03 00:00:00","2005-05-31 00:00:00",209,2,1,1,4,"211","Low Level Customer"
"Royale Belge",33440.1,4180.0125,8,"2005-01-10 00:00:00","2005-05-31 00:00:00",141,3,1,1,5,"311","Low Level Customer"
"Bavarian Collectables Imports, Co.",34993.92,2499.565714285714,14,"2004-09-15 00:00:00","2005-05-31 00:00:00",258,1,1,1,3,"111","Low Level Customer"
"Double Decker Gift Stores, Ltd",36019.04,3001.5866666666666,12,"2004-01-22 00:00:00","2005-05-31 00:00:00",495,1,1,1,3,"111","Low Level Customer"
"Cambridge Collectables Co.",36163.619999999995,3287.6018181818176,11,"2004-05-08 00:00:00","2005-05-31 00:00:00",388,1,1,1,3,"111","Low Level Customer"
"West Coast Collectables Co.",46084.63999999999,3544.972307692307,13,"2004-01-29 00:00:00","2005-05-31 00:00:00",488,1,1,1,3,"111","Low Level Customer"
"Men 'R' US Retailers, Ltd.",48048.46,3432.032857142857,14,"2004-01-09 00:00:00","2005-05-31 00:00:00",508,1,1,1,3,"111","Low Level Customer"
"CAF Imports",49642.05,3818.619230769231,13,"2004-03-19 00:00:00","2005-05-31 00:00:00",438,1,1,1,3,"111","Low Level Customer"
"Signal Collectibles Ltd.",50218.51000000001,3347.9006666666673,15,"2004-02-10 00:00:00","2005-05-31 00:00:00",476,1,1,1,3,"111","Low Level Customer"
"Mini Auto Werke",52263.899999999994,3484.2599999999998,15,"2005-03-10 00:00:00","2005-05-31 00:00:00",82,3,1,1,5,"311","Low Level Customer"
"Iberia Gift Imports, Corp.",54723.62,3648.2413333333334,15,"2004-10-06 00:00:00","2005-05-31 00:00:00",237,1,1,1,3,"111","Low Level Customer"
"Online Mini Collectables",57197.95999999999,3813.1973333333326,15,"2004-09-10 00:00:00","2005-05-31 00:00:00",263,1,1,1,3,"111","Low Level Customer"
"Gift Ideas Corp.",57294.420000000006,3015.4957894736845,19,"2004-12-04 00:00:00","2005-05-31 00:00:00",178,3,1,1,5,"311","Low Level Customer"
"Clover Collections, Co.",57756.43,3609.776875,16,"2004-09-16 00:00:00","2005-05-31 00:00:00",257,1,1,1,3,"111","Low Level Customer"
"Australian Gift Network, Co",59469.11999999999,3964.6079999999993,15,"2005-02-02 00:00:00","2005-05-31 00:00:00",118,3,1,1,5,"311","Low Level Customer"
"Australian Collectables, Ltd",64591.46000000001,2808.3243478260874,23,"2005-05-09 00:00:00","2005-05-31 00:00:00",22,4,2,1,7,"421","Mid Level Customer"
"Auto Assoc. & Cie.",64834.32000000001,3601.906666666667,18,"2004-10-11 00:00:00","2005-05-31 00:00:00",232,1,1,1,3,"111","Low Level Customer"
